,Unnamed: 0,airline,departure_city,departure_time,reaching_time,destination_city,journey_time,stop,ticket fare
0,0,Air India,DEL Indira Gandhi Intl,09:45,11:50,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,510"
1,1,Air India,DEL Indira Gandhi Intl,09:45,11:50,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,625"
2,2,SpiceJet,DEL Indira Gandhi Intl,21:55,00:15,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 4,625"
3,3,Air India,DEL Indira Gandhi Intl,07:10,09:25,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 4,510"
4,4,Vistara,DEL Indira Gandhi Intl,17:40,19:50,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,376"
5,5,Vistara,DEL Indira Gandhi Intl,10:25,12:35,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,539"
6,6,Vistara,DEL Indira Gandhi Intl,14:45,17:00,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 4,261"
7,7,GoFirst,DEL Indira Gandhi Intl,08:35,10:45,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,625"
8,8,GoFirst,DEL Indira Gandhi Intl,20:55,23:10,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 4,625"
9,9,IndiGo,DEL Indira Gandhi Intl,13:25,15:30,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,510"
10,10,IndiGo,DEL Indira Gandhi Intl,19:30,21:40,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
11,11,IndiGo,DEL Indira Gandhi Intl,18:00,20:10,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
12,12,Vistara,DEL Indira Gandhi Intl,07:05,09:25,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 4,766"
13,13,Vistara,DEL Indira Gandhi Intl,20:35,22:55,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 5,686"
14,14,Air India,DEL Indira Gandhi Intl,17:15,19:30,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 5,686"
15,15,IndiGo,DEL Indira Gandhi Intl,07:55,10:15,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 4,766"
16,16,IndiGo,DEL Indira Gandhi Intl,06:40,09:00,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 5,686"
17,17,SpiceJet,DEL Indira Gandhi Intl,21:55,00:15,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 5,686"
18,18,Air India,DEL Indira Gandhi Intl,09:45,11:50,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,766"
19,19,Air India,DEL Indira Gandhi Intl,21:30,23:45,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 5,046"
20,20,Air India,DEL Indira Gandhi Intl,07:10,09:25,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 5,262"
21,21,IndiGo,DEL Indira Gandhi Intl,06:50,12:35,HYD Rajiv Gandhi Intl,5h 45m,1 stop,"₹ 4,677"
22,22,IndiGo,DEL Indira Gandhi Intl,06:50,14:20,HYD Rajiv Gandhi Intl,7h 30m,1 stop,"₹ 5,046"
23,23,GoFirst,DEL Indira Gandhi Intl,08:35,10:45,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,262"
24,24,GoFirst,DEL Indira Gandhi Intl,20:55,23:10,HYD Rajiv Gandhi Intl,2h 15m,direct,"₹ 4,677"
25,25,IndiGo,DEL Indira Gandhi Intl,13:25,15:30,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,800"
26,26,IndiGo,DEL Indira Gandhi Intl,01:50,04:00,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,894"
27,27,IndiGo,DEL Indira Gandhi Intl,19:30,21:40,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,728"
28,28,IndiGo,DEL Indira Gandhi Intl,18:00,20:10,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 4,800"
29,29,IndiGo,DEL Indira Gandhi Intl,07:55,10:15,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 4,894"
30,30,IndiGo,DEL Indira Gandhi Intl,06:40,09:00,HYD Rajiv Gandhi Intl,2h 20m,direct,"₹ 4,728"
31,31,IndiGo,DEL Indira Gandhi Intl,13:35,18:10,HYD Rajiv Gandhi Intl,4h 35m,1 stop,"₹ 4,800"
32,32,Air India,DEL Indira Gandhi Intl,09:45,11:50,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,894"
33,33,IndiGo,DEL Indira Gandhi Intl,13:25,15:30,HYD Rajiv Gandhi Intl,2h 05m,direct,"₹ 4,728"
34,34,GoFirst,DEL Indira Gandhi Intl,08:35,10:45,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
35,35,IndiGo,DEL Indira Gandhi Intl,01:50,04:00,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
36,36,IndiGo,DEL Indira Gandhi Intl,19:30,21:40,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,116"
37,37,IndiGo,DEL Indira Gandhi Intl,18:00,20:10,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
38,38,Vistara,DEL Indira Gandhi Intl,17:40,19:50,HYD Rajiv Gandhi Intl,2h 10m,direct,"₹ 5,686"
